Name,Website,Description,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Keywords,Has Mobile App,Has Google Play App,Has iTunes App
Testin Technologies,testin.io,"Testin is the leading enterprise mobile application testing platform. Monitor, test and analyze your mobile application on our various testing solutions.",82,77,5,6%,68,14,21%,,,,,,,,,,,6,15,39,2011,C,"Banyan Capital,IDG Capital Partners",$94.9M¾,8/23/16,"$30,000,000 ",Santa Clara,Santa Clara,,CA,United States,North America,"B2B,B2C,SaaS","analytics,biotechnology,gaming,healthcare,medical diagnostics,mobile","android,ios,quality assurance",No,No,No
TestObject,testobject.com,TestObject tests your iOS and Android app on hundreds of real devices. Manual and automated app testing made easy. Get started!,23,24,-1,-4%,17,6,35%,"52,081","52,898",-2%,"45,809",14%,,,,,,49,13,124,2012,Exited (acquired),"Brandenburg Fruehphasenfonds,WestTech Ventures",$1.4M¾,1/21/13,"$1,400,000 ",Hennigsdorf,Hennigsdorf,,,Germany,Europe,B2B,"analytics,information security,mobile,security,software development",,No,No,No
The Climate Corporation,climate.com,The Climate Corporation aims to help all the world's farmers sustainably increase productivity of their farming operations.,424,425,-1,0%,430,-6,-1%,"46,120","47,755",-3%,"54,581",-16%,725,534,36%,693,5%,57,283,4661,2006,Exited (acquired),"Allen & Company,Atomico,CODE Advisors,Felicis Ventures,First Round Capital,Founders Fund,Glynn Capital Management,Google Ventures,Howard Morgan,Index Ventures,Joshua Schachter,Khosla Ventures,New Enterprise Associates,SV Angel,Salman Ullah,Sean Park,TenOneTen Ventures,Western Technology Investment",$108.9M¾,6/14/12,"$50,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"agriculture,analytics,drones,finance,human resources hr,insurance","big data,deals",Yes,No,Yes
The Echo Nest,echonest.com,The Echo Nest is a music intelligence platform company that provides music services to developers and media companies.,24,25,-1,-4%,31,-7,-23%,"302,120",,,,,,,,,,56,-49,930,2005,Exited (acquired),"Commonwealth Capital Ventures,Jim Pallotta,Matrix Partners,Norwest Venture Partners",$25.6M¾,7/12/12,"$17,300,000 ",Somerville,Somerville,,,United States,North America,"B2B,B2C,Metamediary","analytics,enterprise software,music,search,software development","apis,developer apis,reviews & recommendations",No,No,No
The HOTH,thehoth.com,"The best reseller seo program for agencies, affiliates, and consultants. We offer affordable packages and plans for link building, local seo, and more.",20,20,0,0%,17,3,18%,"519,131","523,667",-1%,"553,091",-6%,,,,,,,,,2010,Exited (acquired),,Undisclosed,,Undisclosed,Chicago,Chicago,Chicago,IL,United States,North America,,"advertising,analytics,human resources hr,marketing,marketing analytics","digital marketing,seo",No,No,No
The Hut Group,thehutgroup.com,"The Hut Group is a global leader in health, beauty, fitness and lifestyle and is home to some of the world's best brands Myprotein, lookfantastic and more.","1,112","1,078",34,3%,850,262,31%,"92,097","87,217",6%,"91,939",0%,,,,,,83,905,14564,2004,Late,"Altium Capital,Artemis,Balderton Capital,William Currie Group",$0¾,4/15/10,Undisclosed,Northwich,Northwich,,,United Kingdom,Europe,B2C,"analytics,retail",,No,No,No
The Knowland Group,knowland.com,Knowland provides group meetings and events tools to help maximize hotel group revenue performance. Knowland helps identify quality leads and convert quality leads into group business efficiently and effectively.,212,201,11,5%,178,34,19%,"1,717","1,850",-7%,"1,871",-8%,,,,,,52,24,395,2004,Late,,$0¾,11/1/12,Undisclosed,Washington,Washington,Washington D.C.,DC,United States,North America,"B2B,Events,SaaS","analytics,finance,hospitality,marketing,marketing analytics,travel",,No,No,No
The Minerva Project,minervaproject.com,"The Minerva Project is designed to prepare students for leadership and innovation, combining liberal arts and sciences curriculum.",148,147,1,1%,104,44,42%,668,609,10%,779,-14%,,,,,,29,127,1496,2011,B,"Benchmark,TAL Education Group,Yongjin Group,ZhenFund",$95.0M¾,10/15/14,"$70,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2C,"analytics,education,human resources hr",pioneer250,No,No,No
The MoBank Group,mopowered.co.uk,"Leverage mporium data driven marketing technology by analysing, amplifying and anticipating your customers in the micro moments that matter to your business",14,17,-3,-18%,30,-16,-53%,20,57,-65%,497,-96%,,,,,,42,-18,274,2006,Exited (ipo),,$2.5M¾,8/30/13,"$1,800,000 ",London,London,London,,United Kingdom,Europe,B2C,"advertising,analytics,e-commerce,finance,marketing,marketing analytics,mobile,payments",payments,No,No,No
The Nielsen Company,nielsen.com,Nielsen Business Media is a mobile apps developer company which has developed apps like Interbike International Bicycle Exp,"29,921","29,378",543,2%,"27,659","2,262",8%,"1,473,199","1,470,850",0%,"1,508,950",-2%,,,,,,,,,,Exited (ipo),"HarbourVest Partners,KKR,Level Equity",$0¾,,Undisclosed,New York,New York,New York,NY,United States,North America,"B2B,Consulting","advertising,analytics,healthcare,market research,marketing,marketing analytics,transportation",,Yes,Yes,Yes
The Rainmaker Group,letitrain.com,Rainmaker provides automated revenue management and profit optimization software solutions for the multifamily housing and gaming & hospitality industries.,197,190,7,4%,191,6,3%,"1,157","1,286",-10%,"1,474",-22%,,,,,,52,118,2534,1998,Late,"Norwest Venture Partners,Silicon Valley Bank",$42.8M¾,10/30/12,"$33,800,000 ",Atlanta,Alpharetta,Atlanta,GA,United States,North America,B2B,"analytics,enterprise software,hospitality,marketing,marketing analytics,real estate",,No,No,No
The Standard Register Company,stdreg.com,"Taylor Communications provides a full range of print and digital communication solutions, customized to the business needs of key vertical markets.",,,,,,,,24,,,,,,,,,,,,,1912,Exited (ipo),,Undisclosed,,Undisclosed,Cincinnati,Dayton,Cincinnati,OH,United States,North America,B2B,"analytics,marketing,marketing analytics",,No,No,No
The Trade Desk,thetradedesk.com,The Trade Desk is an online demand-side platform that provides buying tools for digital media buyers.,449,439,10,2%,366,83,23%,"550,657","527,520",4%,"488,422",13%,,,,,,11,189,1401,2009,C,"Double M Partners,Founder Collective,Hermes Growth Partners,IA Ventures,Joshua Stylman,Kortschak Investments,Neu Venture Capital,Roger Ver,SV Angel,Wellington Management,Wider Wake Networks",$82.5M¾,3/25/16,"$60,000,000 ",Ventura,Ventura,,CA,United States,North America,"B2B,Consulting","advertising,analytics,e-commerce,enterprise software,marketing,marketing analytics",,No,No,No
ThetaRay,thetaray.com,Uncovers unknown threats to help customers protect their critical infrastructure,43,44,-1,-2%,38,5,13%,563,592,-5%,394,43%,,,,,,15,24,233,2013,C,"Alibaba,Bank Hapoalim,GE Ventures,General Electric,Jerusalem Venture Partners,Poalim Capital Markets",$25.0M¾,12/1/15,"$15,000,000 ",Hod Hasharon,Hod Hasharon,,,Israel,Asia,B2B,"analytics,enterprise software,finance,human resources hr,information security,security",big data,No,No,No
Think Big Analytics,thinkbiganalytics.com,We provide expert advisory & implementation services for open source big data solutions through our methodology and proven Think Big Velocity framework.,141,135,6,4%,104,37,36%,372,421,-12%,510,-27%,,,,,,49,93,1079,2010,Exited (acquired),"Dan Scheinman,WI Harper Group",$4.2M¾,2/5/13,"$3,000,000 ",Bay Area,Mountain View,Bay Area,CA,United States,North America,"B2B,Consulting","analytics,education","big data,hadoop,machine learning",No,No,No
Thomson Reuters,thomsonreuters.com,"Thomson Reuters provides professionals with the intelligence, technology and human expertise they need to find trusted answers.","55,042","48,180","6,862",14%,"52,767","2,275",4%,"2,840,532","2,848,100",0%,"2,783,341",2%,3,7,-57%,59,-95%,,,,1999,Exited (ipo),"DN Capital,Silver Lake Partners",$0¾,,Undisclosed,New York,New York,New York,NY,United States,North America,"B2B,SaaS","analytics,biotechnology,enterprise software,finance,human resources hr,information security,security",android,Yes,Yes,Yes
ThoughtSpot,thoughtspot.com,"ThoughtSpot has developed a relational search engine for relational databases - designed to scale across all any data source - cloud, desktop, Hadoop, data warehouses - and process terabytes of data while still returning answers in milliseconds. We help any employee get answers in seconds from their company data. As soon as you start typing in our search box, charts pop-up.",161,154,7,5%,134,27,20%,"13,916","13,409",4%,"11,955",16%,,,,,,5,36,122,2012,C,"General Catalyst Partners,Geodesic Capital,Hewlett Packard Pathfinder,Khosla Ventures,Lightspeed Venture Partners",$90.7M¾,10/17/16,Undisclosed,Bay Area,Palo Alto,Bay Area,CA,United States,North America,"B2B,SaaS","analytics,data storage,enterprise software,human resources hr,information security,marketing,security,storage","big data,business intelligence",No,No,No
ThousandEyes,thousandeyes.com,"ThousandEyes monitors network infrastructure, troubleshoots application delivery and maps Internet performance, all from a SaaS-based platform.",138,135,3,2%,113,25,22%,"36,540","38,260",-4%,"34,100",7%,,,,,,12,70,440,2009,C,"Google Ventures,Salesforce Ventures,Sequoia Capital,Sutter Hill Ventures,Tenaya Capital",$80.7M¾,2/25/16,"$35,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"analytics,data storage,enterprise software,human resources hr,information security,marketing,marketing analytics,mobile,security,software development,storage",user experience,No,No,No
ThreatConnect,threatconnect.com,"ThreatConnect, formerly Cyber Squared Inc., is the leading provider of advanced threat intelligence products and services including ThreatConnectÂ, the most widely-adopted Threat Intelligence Platform (TIP) on the market. ThreatConnect is the only company to deliver a single platform in the cloud or on-premises to effectively aggregate, analyze, and act to counter sophisticated cyber-attacks.",97,97,0,0%,104,-7,-7%,"10,672","10,199",5%,"7,891",35%,,,,,,15,34,416,2011,B,"Grotech Ventures,SAP National Security Services",$20.0M¾,12/1/15,"$16,000,000 ",Arlington,Arlington,Washington D.C.,VA,United States,North America,B2B,"analytics,data storage,enterprise software,finance,information security,security,storage",,No,No,No
ThreatQuotient,threatq.com,"ThreatQ is an on-premise threat intelligence platform (TIP) that automates, structures, and manages all of your intelligence in a central analytical repository.",61,59,2,3%,53,8,15%,116,144,-19%,120,-3%,,,,,,6,10,37,2013,B,"Blu Ventures (Blu Venture Investors),New Enterprise Associates,Todd Headley,Virginia Tech Investor Network,Virginia's Center for Innovative Technology",$23.7M¾,8/23/16,"$12,000,000 ",Dulles,Dulles,Washington D.C.,VA,United States,North America,B2B,"analytics,enterprise software,finance,information security,physical security,security",,No,No,No
ThriveHive,thrivehive.com,ThriveHive makes marketing simple and effective for small businesses by helping you drive and measure your online and offline marketing with expert guidance.,28,28,0,0%,25,3,12%,"74,236","72,371",3%,"70,442",5%,,,,,,21,5,32,2011,Exited (acquired),"Boston 2015 Summer,Edward Roberts,Founder Collective,Jean Hammond,Mitch Roberts,Techstars",$3.0M¾,6/2/15,"$2,090,000 ",Boston,Cambridge,Boston,MA,United States,North America,"Advertising,B2B","advertising,analytics,customer support,human resources hr,marketing,marketing analytics,search","big data,local,sales,small & medium sized business",No,No,No
Tianzhou Communication,95013.com,"Tianzhou Communication, a Chinese company, provides personalized and professional communication services for customers.",,,,,,,,54,54,0%,54,0%,,,,,,154,,,,B,,$5.0M¾,5/1/04,"$5,000,000 ",Beijing,Beijing,,,China,Asia,,analytics,,No,No,No
TIBCO Software,tibco.com,TIBCO Software (HQ-California) was added in 2013.,"3,786","3,788",-2,0%,"3,795",-9,0%,"544,747","535,367",2%,"517,017",5%,,,,,,231,426,12189,1997,Exited (ipo),Reuters,$35.7M¾,12/1/97,"$10,000,000 ",Bay Area,Palo Alto,Bay Area,CA,United States,North America,B2B,"analytics,enterprise software,information security,marketing,marketing analytics,security",android,No,No,No
Timetric,timetric.com,Global market intelligence,197,196,1,1%,194,3,2%,"6,224","5,430",15%,"5,487",13%,,,,,,83,74,2718,2008,Late,"Alex Zubillaga,John Taysom,Matteo Stefanel,Sean Park,Sherry Coutu,Stefan Glaenzer,Udayan Goyal",$0¾,3/23/10,Undisclosed,London,London,London,,United Kingdom,Europe,B2B,"analytics,finance",big data,No,No,No
TinyPulse,tinypulse.com,"The leading employee engagement platform offers innovative pulse surveys, peer recognition, and performance reviews to boost retention and your bottom line.",108,107,1,1%,104,4,4%,"332,897","325,757",2%,"306,834",8%,,,,,,15,60,606,2012,B,"Arthur Ventures,Baseline Ventures,Harrison Metal,High Alpha Studios",$9.5M¾,12/13/15,"$6,000,000 ",Seattle,Seattle,Seattle,WA,United States,North America,"B2B,SaaS,Subscription","analytics,customer support,human resources hr",,Yes,Yes,No
Torsh,torsh.co,"We harness the power of video classroom observation, actionable data, and expert virtual coaching to drive effective instruction and teacher professional development.",9,9,0,0%,7,2,29%,47,44,7%,79,-41%,,,,,,,,,2011,Exited (other),,Undisclosed,,Undisclosed,New York,,New York,NY,United States,North America,B2C,"analytics,education,human resources hr","teachers,training",Yes,No,Yes
Totango,totango.com,Smart Customer Engagement,62,59,3,5%,68,-6,-9%,"207,346","204,120",2%,"208,857",-1%,,,,,,6,-2,14,2010,C,"Benhamou Global Ventures,Canvas Venture Fund,Gemini Israel Ventures,Gemini Southern,InterWest Partners,Pitango Venture Capital",$27.3M¾,9/14/16,"$8,000,000 ",Bay Area,San Mateo,Bay Area,CA,United States,North America,"B2B,SaaS","advertising,analytics,customer support,human resources hr,marketing",customer service,No,No,No
Tout,tout.com,"Online Video Network Delivering News, Sports, and Entertainment Video to Over 25MM Viewers Per Month.",225,211,14,7%,172,53,31%,"258,747","263,865",-2%,"266,820",-3%,,219,,219,,5,143,267,2010,C,"819 Capital,Anduin Capital,Eric Chen,Founders Den,Gordon Crawford,Horizons Ventures,Hosain Rahman,Jay Gould,Peter Boboff,Phil Knight,Pittco Capital Partners,Riaz Valani,SRI International,Seavest Capital Partners,Stan Shuman,WWE,Windsor Media",$50.1M¾,10/3/16,"$26,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2C,"advertising,analytics,marketing,marketing analytics,mobile","android,news,social media,vide,video",Yes,Yes,Yes
ToutApp,toutapp.com,"ToutApp helps salespeople close more deals and increase productivity with the power of tracking, templates and analytics.",43,41,2,5%,53,-10,-19%,"648,406","635,759",2%,"605,211",7%,,,,,,24,3,359,2011,B,"500 Startups,500 Startups Batch 2 (Summer 2011),Altair VC,Andreessen Horowitz,Daniel Eskapa,Dave McClure,Eric Ries,Esther Dyson,Founder Collective,Launch Fund,Maneesh Arora,NYC Seed,Paul Sethi,Roham Gharegozlou,Scott Banister,Sigma Partners,Sigma West,Venture51",$21.5M¾,3/3/15,"$15,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"analytics,customer support,email,enterprise software,human resources hr,marketing,marketing analytics","email,productivity,sales,small & medium sized business",No,No,No
ToyTalk,toytalk.com,"ToyTalk is an award-winning, family entertainment company that creates conversational characters.",19,20,-1,-5%,36,-17,-47%,"2,930","2,904",1%,"2,018",45%,,13,,80,,27,-9,260,2011,C,"500 Startups,Charles River Ventures (CRV),First Round Capital,Greylock Partners,Khosla Ventures,Scott Banister,True Ventures",$31.2M¾,12/10/14,"$15,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2C,"analytics,education,entertainment,gaming,media,mobile",,Yes,Yes,Yes
Tracxn,tracxn.com,"Tracxn is an analytics platform that tracks startup data. Its data analysis technology first identifies promising companies and founders, before its analysts take a closer look at fundamentals and trends.",452,441,11,2%,416,36,9%,"460,801","449,078",3%,"437,096",5%,,,,,,13,304,1827,2013,B,"Anand Rajaram,Aneesh Reddy,Binny Bansal,Girish Mathrubootham,Mohandas Pai,Nandan Nilekani,Neeraj Arora,Ratan N Tata,SAIF Partners,Sachin Bansal,Teruhide Sato",$13.5M¾,2/17/16,Undisclosed,Bay Area,Palo Alto,Bay Area,CA,United States,North America,"B2B,Consulting,SaaS","analytics,consulting and research,enterprise software,finance,human resources hr,market research,marketing,marketing analytics",venture capital,No,No,No
Trax Image Recognition,traxretail.com,Trax Image Recognition is the tech company that improves customers' in-store retail execution and audits with image recognition technology.,186,184,2,1%,,,,,,,,,,,,,,1,9,0,2010,C,"Broad Peak Master Fund,Investec",$74.5M¾,2/6/17,"$19,500,000 ",Singapore,Singapore,,,Singapore,Asia,B2B,"analytics,retail",,No,No,No
Trax Technologies,traxtech.com,Uses technology services to provide automation and scalability to freight carriers' data tracking in order to reduce material data defects causing financial problems.,385,384,1,0%,380,5,1%,420,487,-14%,474,-11%,,,,,,49,169,3064,1993,Exited (acquired),"Capital Southwest Corporation,River Cities Capital Funds",$15.0M¾,2/14/13,"$10,000,000 ",Phoenix,Scottsdale,Phoenix,AZ,United States,North America,"B2B,Consulting","analytics,data storage,finance,human resources hr,storage,transportation",,No,No,No
Treasure Data,treasuredata.com,"Treasure Data provides the first cloud service for the entire data pipeline, including collection, storage and analysis. Now businesses can get value from big data in days. *Cool Vendors in Big Data, 2014* by Gartner.",93,91,2,2%,80,13,16%,"120,831","114,532",5%,"162,523",-26%,,,,,,9,16,91,2011,C,"AME Cloud Ventures,Adam Wiggins,Anand Babu Periasamy,Bill Tai,Dan Scheinman,James Lindenbaum,Jerry Yang,Orion Henry,Scale Venture Partners,Sierra Ventures,Sizhao Yang,Tim Guleri,Yukihiro Matsumoto",$34.6M¾,6/9/16,"$11,500,000 ",Mountain View,Mountain View,Bay Area,CA,United States,North America,"B2B,SaaS","analytics,cloud computing,data storage,finance,human resources hr,marketing,marketing analytics,storage","big data,cloud computing",No,No,No
Treehouse Interactive,treehousei.com,Everything You Need To Accelerate Your Partner Channel Revenue In As Few As 30 Days.,50,46,4,9%,29,21,72%,,,,,,,,,,,24,21,109,1997,Exited (acquired),Kennet Partners,$17.0M¾,3/11/15,"$17,000,000 ",Salt Lake City,South Jordan,Salt Lake City,UT,United States,North America,B2B,"analytics,marketing,marketing analytics",,No,No,No
Tremor Video,tremorvideo.com,Tremor Video (NYSE: TRMR) is transforming the video advertising experience across all screens for the worlds leading brands.,381,391,-10,-3%,378,3,1%,"107,084","107,614",0%,"113,556",-6%,,,,,,66,115,2366,2005,Exited (ipo),"Canaan Partners,DFJ Growth,Draper Fisher Jurvetson (DFJ),European Founders Fund,First Round Capital,Flybridge Capital Partners,General Catalyst Partners,Masthead Venture Partners,Meritech Capital Partners,Millennium Technology Value Partners,Relay Ventures,SV Angel,Sapphire Ventures,Triangle Peak Partners,W Capital Partners",$116.4M¾,9/12/11,"$37,000,000 ",New York,New York,New York,NY,United States,North America,"Advertising,B2B","advertising,analytics,enterprise software,information security,marketing,marketing analytics,media,security","advertising platform,video",No,No,No
TrendKite,trendkite.com,"TrendKite quantifies PR's impact in a way both PR professionals and executives understand, so they can optimize their PR strategy.",165,157,8,5%,117,48,41%,"26,543","27,366",-3%,"31,195",-15%,,,,,,4,54,160,2012,Late,"Battery Ventures,DreamIt Austin '13,DreamIt Ventures,Joshua Baer,Mercury Fund,Noro-Moseley Partners,Raymond Walheim,Rodrigo Carvalho,Sean Spector,Silverton Partners",$36.1M¾,11/8/16,"$16,000,000 ",Austin,Austin,Austin,TX,United States,North America,B2B,"advertising,analytics,enterprise software,human resources hr,marketing,marketing analytics",big data,No,No,No
Triad Retail Media,triadretail.com,"Triad Retail Media creates, manages and operates online media programs for leading retail e-commerce websites, delivering innovative,",682,687,-5,-1%,664,18,3%,"13,828","11,553",20%,"8,865",56%,,,,,,87,307,6957,2014,Exited (acquired),"Greg Murtagh,H.I.G. Capital Partners,Roger Berdusco",$0¾,12/4/09,Undisclosed,Tampa,St. Petersburg,Tampa,FL,United States,North America,"B2B,B2C","advertising,analytics,e-commerce,finance,human resources hr,marketing,marketing analytics,payments",,No,No,No
Trianz,trianz.com,"Trianz IT Services, Consulting and Technology Solutions - Enabling strategic execution to deliver results from a top management perspective, predictably.","1,157","1,074",83,8%,959,198,21%,"8,107","7,797",4%,"7,913",2%,,,,,,122,558,9954,2001,Late,New York Life Investment Management,$14.0M¾,1/16/07,"$14,000,000 ",Bay Area,Santa Clara,Bay Area,CA,United States,North America,B2B,"analytics,consulting,data storage,e-commerce,human resources hr,information security,marketing,marketing analytics,security,storage",,No,No,No
Tricida,tricida.com,"Tricida, Inc. operates in the healthcare industry focusing on pharmaceutical business. The company was formerly known as Trilypsa, Inc.",29,30,-1,-3%,24,5,21%,65,81,-20%,61,7%,,,,,,7,5,24,2013,C,"Limulus Venture Partners,Longitude Capital,OrbiMed Advisors,Sibling Capital Ventures,Vivo Capital",$99.5M¾,7/25/16,"$55,000,000 ",Bay Area,South San Francisco,Bay Area,CA,United States,North America,B2B,"analytics,biotechnology,cleantech,healthcare,pharmaceuticals,wind power",,No,No,No
TripleLift,triplelift.com,The Leader in Native Programmatic,119,118,1,1%,105,14,13%,"244,362","246,868",-1%,"248,246",-2%,,,,,,21,84,1106,2012,B,"Edison Partners,Entrepreneurs Roundtable Accelerator,Laconia Capital Group,Laconia Ventures,Liberty City Ventures,MESA+,NextView Ventures,SocialStarts,The Social Internet Fund,True Ventures,iNovia Capital",$16.6M¾,6/11/15,"$10,500,000 ",New York,New York,New York,NY,United States,North America,"B2B,SaaS","advertising,analytics,marketing","content,content marketing",No,No,No
Truven Health Analytics,truvenhealth.com,"Truven Health Analytics delivers unbiased information, analytic tools, benchmarks, and services to the healthcare industry.","1,889","1,887",2,0%,"1,804",85,5%,"39,139","40,934",-4%,"47,003",-17%,2,2,0%,,,24,147,868,,Exited (acquired),Conrad N Hilton Foundation,$1.4M¾,3/16/15,"$1,350,000 ",Ann Arbor,Ann Arbor,,MI,United States,North America,B2B,"analytics,enterprise software,health it,healthcare,marketing,marketing analytics",,Yes,Yes,Yes
Truveris,truveris.com,"Truveris is a technology company driving transparency, access and lower costs across the prescription drug ecosystem.",86,89,-3,-3%,92,-6,-7%,342,360,-5%,396,-14%,,,,,,32,36,878,2009,C,"Canaan Partners,First Round Capital,New Atlantic Ventures,New Leaf Venture Partners,Tribeca Venture Partners",$26.6M¾,6/27/14,"$12,750,000 ",New York,New York,New York,NY,United States,North America,"B2B,SaaS","analytics,enterprise software,finance,healthcare,human resources hr,insurance,pharmaceuticals",,No,No,No
Tune,tune.com,"Provides SaaS for tracking and managing advertising relationships for performance-based clients, including mobile tracking apps and tracking of in-app engagement sources.",372,363,9,2%,347,25,7%,"642,785","610,816",5%,"506,864",27%,,,,,,25,163,2836,2009,B,"Accel Partners,Bob Moul,Boost VC Tribe 2,FirstMark Capital,Founders' Coop,Icon Ventures (formerly Jafco Ventures),Performance Equity Management",$43.4M¾,1/29/15,"$27,000,000 ",Seattle,Seattle,Seattle,WA,United States,North America,B2B,"advertising,analytics,enterprise software,marketing,marketing analytics,mobile","mobile advertising,performance marketing",No,No,No
Twend It,twend.it,,,,,,,,,20,13,54%,7,186%,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,Los Angeles,Los Angeles,Los Angeles,CA,United States,North America,B2B,"analytics,marketing","social media,social media marketing",No,No,No
Unilog Content Solutions,unilogcorp.com,Unilog offers a complete web-based e-commerce software package that integrates seamlessly with any ERP solution; and offers complete product content services.,573,559,14,3%,515,58,11%,"1,497","1,733",-14%,"3,258",-54%,,,,,,18,215,1712,1998,Late,Kalaari Capital,$0¾,9/16/15,Undisclosed,Bangalore,Bangalore,,,India,Asia,B2B,"analytics,e-commerce,enterprise software",big data,No,No,No
Upscale,theupscale.in,,5,4,1,25%,5,0,0%,7,7,0%,7,0%,,,,,,,,,2011,Exited (other),,Undisclosed,,Undisclosed,New Delhi,New Delhi,,,India,Asia,B2B,"analytics,enterprise software,finance,payments","big data,machine learning",No,No,No
Upserve,upserve.com,Upserve tells you everything you need to know about your restaurant and nothing you don't. See how our restaurant software can be your magic ingredient.,150,146,4,3%,116,34,29%,,,,,,,,,,,33,48,239,2009,C,"Angus Davis,Anton Commissaris,Charles Moldow,Danny Rimer,Emil Michael,First Round Capital,Greylock Partners,Index Ventures,Josh Kopelman,Keith Rabois,Lee Hower,Lowercase Capital,NextView Ventures,Pritzker Group Venture Capital,Reid Hoffman,SV Angel,Shasta Ventures",$40.5M¾,5/29/14,"$20,000,000 ",Boston,Providence,Boston,RI,United States,North America,B2B,"analytics,enterprise software,finance,food & beverages,hospitality,payments",payments,No,No,No
Upstream,upstreamsystems.com,Upstream is a mobile monetization powerhouse using MINT technology to deliver better mobile purchase rates in the industry.,480,474,6,1%,451,29,6%,"5,699","5,088",12%,"4,487",27%,,,,,,93,248,5360,2001,Late,TLcom Capital Partners,$0¾,5/27/09,Undisclosed,London,London,London,,United Kingdom,Europe,B2B,"advertising,analytics,finance,marketing,marketing analytics,mobile,payments,telecommunications","digital marketing,gamification,mobile advertising,mobile marketing",No,No,No
Uptake,uptake.com,"Uptake is a predictive analytics SaaS platform provider that empowers companies in major industries to optimize performance, reduce asset failures and enhance safety.",482,474,8,2%,358,124,35%,"3,535","3,545",0%,"4,205",-16%,,,,,,1,31,31,2014,B,"Caterpillar Ventures,GreatPoint Ventures,New Enterprise Associates,Revolution LLC",$85.0M¾,2/1/17,"$40,000,000 ",Chicago,Chicago,Chicago,IL,United States,North America,"B2B,SaaS","analytics,cleantech,enterprise software,marketing,marketing analytics,wind power",travel,No,No,No
Urban FT,urbanft.com,Urban FT is a technology provider that supplies FIs with white-label digital banking solutions.,28,28,0,0%,23,5,22%,125,103,21%,78,60%,,,,,,18,9,107,2012,B,"Core VC,Euronet Worldwide,H&R Block",$0¾,9/3/15,Undisclosed,New York,New York,New York,NY,United States,North America,B2B,"analytics,banking,enterprise software,finance,information security,marketing,marketing analytics,payments,security",,No,No,No
UserReplay,userreplay.com,UserReplay is a powerful website session recording and reporting tool to find and fix website issues.,40,40,0,0%,34,6,18%,"5,879","5,588",5%,"6,121",-4%,,,,,,12,15,114,,B,"EC1 Capital Ltd,Episode 1,Longwall Venture Partners,Star-Achats ,The FSE Group",$7.9M¾,2/24/16,"$4,700,000 ",Berkshire,Berkshire,,,United Kingdom,Europe,B2B,"analytics,customer support,developer tools,enterprise software,human resources hr,marketing,marketing analytics,software development",,No,No,No
USWeb,usweb.com,"USWeb is one of the oldest, most respected, Internet marketing consultancy in the world. USWeb consultants have worked with the worlds top brands and pioneered Internet best practices for well over a decade.",5,5,0,0%,5,0,0%,121,128,-5%,130,-7%,,,,,,,,,1995,Exited (ipo),,Undisclosed,,Undisclosed,Las Vegas,Henderson,Las Vegas,NV,United States,North America,"B2B,Consulting","advertising,analytics,marketing,marketing analytics",,No,No,No
Valence Health,valencehealth.com,"Valence Health provides value-based care solutions that help hospitals, health systems and physicians more effectively manage patient populations to help them achieve clinical and financial rewards.",503,502,1,0%,480,23,5%,"5,532","6,418",-14%,"8,441",-34%,,,,,,28,221,2682,1996,Exited (acquired),"Flare Capital,GE Ventures,Heritage Group,North Bridge",$45.0M¾,11/19/14,"$15,000,000 ",Chicago,Chicago,Chicago,IL,United States,North America,B2B,"analytics,health it,healthcare,healthcare providers,human resources hr",,No,No,No
Vasona Networks,vasonanetworks.com,"An innovative team of experienced leaders, building a company with the vision of improving mobile networking. Backed by world class financial partners. Vasona Networks is committed to developing solutions that bring the greatest value to our customers, the mobile carriers",64,65,-1,-2%,67,-3,-4%,188,214,-12%,447,-58%,,,,,,11,5,21,2010,C,"Bessemer Venture Partners,New Venture Partners",$36.6M¾,4/6/16,"$14,600,000 ",San Jose,San Jose,Bay Area,CA,United States,North America,B2B,"analytics,information security,marketing,marketing analytics,mobile,security",,No,No,No
Vegas Valley Angels,vegasvalleyangels.com,,,,,,,,,,,,,,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,Las Vegas,Henderson,Las Vegas,NV,United States,North America,B2B,"analytics,finance,marketing,marketing analytics",venture capital,No,No,No
